file,MSE,MAE
Etth1_336_96.log,0.40501412749290466,0.44176924228668213
Etth1_336_192.log,0.43356913328170776,0.4585484564304352
Etth1_336_336.log,0.4377025067806244,0.4624548852443695
Etth1_336_720.log,0.5075814127922058,0.5104295611381531
Etth2_336_96.log,0.3840685188770294,0.428664892911911
Etth2_336_192.log,0.41851624846458435,0.4535917043685913
Etth2_336_336.log,0.4091574549674988,0.4542708694934845
Etth2_336_720.log,0.41876956820487976,0.47195467352867126
Ettm1_336_96.log,0.32765328884124756,0.39461883902549744
Ettm1_336_192.log,0.3626711964607239,0.4139535129070282
Ettm1_336_336.log,0.4096251130104065,0.44200149178504944
Ettm1_336_720.log,0.44797468185424805,0.4692370593547821
Ettm2_336_96.log,0.2717277407646179,0.34460753202438354
Ettm2_336_192.log,0.308536559343338,0.37127789855003357
Ettm2_336_336.log,0.3464520573616028,0.39214304089546204
Ettm2_336_720.log,0.42718270421028137,0.44030311703681946
weather_336_96.log,0.2571727931499481,0.32644107937812805
weather_336_192.log,0.29298433661460876,0.3485826551914215
weather_336_336.log,0.408731609582901,0.4441741108894348
weather_336_720.log,0.40902695059776306,0.4343462586402893
electricity_336_96.log,0.1919083595275879,0.3097701966762543
electricity_336_192.log,0.2281365841627121,0.3458472192287445
electricity_336_336.log,0.2514272630214691,0.3663516044616699
electricity_336_720.log,0.2510048747062683,0.3597174882888794
traffic_336_96.log,0.6456538438796997,0.4196756184101105
traffic_336_192.log,0.6540044546127319,0.42003920674324036
traffic_336_336.log,0.6288304328918457,0.39158135652542114
traffic_336_720.log,0.6469915509223938,0.3978879153728485
